id;title;year;genre;duration;country;director
tt0069049;The Other Side of the Wind;2018;Drama;122;France, Iran, USA;Orson Welles
tt0100275;La Telenovela Errante;2017;Comedy, Drama, Fantasy;80;Chile;Raoul Ruiz, Valeria Sarmiento
tt0137204;Joe Finds Grace;2017;Animation, Adventure, Comedy;83;Canada;Anthony Harrison
tt0146592;PÃ¡l Adrienn;2010;Drama;136;Hungary, France, Austria, Netherlands;Ãgnes Kocsis
tt0153140;RÃ³zsaszÃ­n sajt;2009;Comedy, Drama;93;Hungary;BarnabÃ¡s TÃ³th
tt0162942;A zÃ¶ld sÃ¡rkÃ¡ny gyermekei;2010;Drama;89;Hungary;Bence Miklauzic
tt0176694;Az ember tragÃ©diÃ¡ja;2011;Animation, Drama, History;160;Hungary;Marcell Jankovics
tt0205380;Sanam Teri Kasam;2009;Action, Drama, Romance;170;India;Lawrence D'Souza
tt0249516;Foodfight!;2012;Animation, Action, Comedy;91;USA;Lawrence Kasanoff
tt0255820;Return to Babylon;2013;Biography, Comedy, Drama;75;USA;Alex Monty Canawati
tt0285252;Life's a Beach;2012;Comedy;100;USA;Tony Vitale
tt0289146;T.M.A.;2009;Horror, Mystery, Thriller;100;Czech Republic;Juraj Herz
tt0293069;Dark Blood;2012;Thriller;86;USA, UK, Netherlands;George Sluizer
tt0312305;Quantum Quest: A Cassini Space Odyssey;2010;Animation, Adventure, Sci-Fi;45;USA;Harry 'Doc' Kloor, Daniel St. Pierre
tt0315642;Wazir;2016;Action, Crime, Drama;103;India;Bejoy Nambiar
tt0323808;The Wicker Tree;2011;Drama, Horror;96;UK;Robin Hardy
tt0326716;'77;2017;Comedy, Drama;113;USA;Patrick Read Johnson
tt0326965;In My Sleep;2010;Drama, Mystery, Thriller;104;USA;Allen Wolf
tt0327597;Coraline;2009;Animation, Drama, Fantasy;100;USA;Henry Selick
tt0331314;Bunyan and Babe;2017;Animation, Adventure, Comedy;84;USA, India;Louis Ross
tt0337692;On the Road;2012;Adventure, Drama, Romance;124;France, USA, UK, Mexico, Canada, Brazil, Germany, Netherlands, Argentina;Walter Salles
tt0337926;ChatÃ´: O Rei do Brasil;2015;Biography;102;Brazil;Guilherme Fontes
tt0339736;The Evil Within;2017;Horror;98;USA;Andrew Getty
tt0346631;Blood and Bone;2009;Action, Crime, Drama;93;USA;Ben Ramsey
tt0347307;Kaminnyy khrest;2018;Drama;80;Soviet Union;Leonid Osyka
tt0353665;El libro de piedra;2009;Drama, Fantasy, Horror;84;Mexico;Julio Cesar Estrada
tt0359950;The Secret Life of Walter Mitty;2013;Comedy, Drama, Fantasy;114;USA, UK;Ben Stiller
tt0360556;Fahrenheit 451;2018;Drama, Sci-Fi, Thriller;100;USA;Ramin Bahrani
tt0361748;Inglourious Basterds;2009;Adventure, Drama, War;153;Germany, USA;Quentin Tarantino
tt0362478;The Box;2009;Drama, Fantasy, Mystery;115;USA;Richard Kelly
tt0365545;Nappily Ever After;2018;Comedy, Drama, Romance;98;USA;Haifaa Al-Mansour
tt0365907;A Walk Among the Tombstones;2014;Action, Crime, Drama;114;USA;Scott Frank
tt0365929;Whiteout;2009;Action, Crime, Horror;101;USA, Canada, France, Turkey;Dominic Sena
tt0369610;Jurassic World;2015;Action, Adventure, Sci-Fi;124;USA;Colin Trevorrow
tt0374853;Malice in Wonderland;2009;Adventure, Drama, Fantasy;87;UK, Spain, USA, Bahrain;Simon Fellows
tt0375568;Astro Boy;2009;Animation, Action, Comedy;94;Japan, Hong Kong, USA;David Bowers
tt0376136;The Rum Diary;2011;Comedy, Drama;119;USA, UK;Bruce Robinson
tt0376479;American Pastoral;2016;Crime, Drama;108;Hong Kong, USA;Ewan McGregor
tt0377981;Gnomeo & Juliet;2011;Animation, Adventure, Comedy;84;UK, USA, Canada;Kelly Asbury
tt0380510;The Lovely Bones;2009;Drama, Fantasy, Thriller;135;USA, UK, New Zealand;Peter Jackson
tt0381940;Cargo;2009;Mystery, Sci-Fi, Thriller;112;Switzerland;Ivan Engler, Ralph Etter
