movie_id;males_votes;females_votes;votes_10;votes_9;votes_8;votes_7;votes_6;votes_5;votes_4;votes_3;votes_2;votes_1
tt0069049;3663;226;490;586;1013;1070;752;445;227;158;101;172
tt0100275;77;13;13;8;19;34;22;6;3;5;1;10
tt0137204;137;72;96;132;19;5;0;0;1;4;1;6
tt0146592;315;95;64;43;68;109;82;37;20;11;8;15
tt0153140;126;29;19;5;26;41;37;18;10;8;4;11
tt0162942;88;21;14;10;29;32;17;14;2;0;0;6
tt0176694;434;90;184;107;138;80;34;13;15;2;8;35
tt0205380;69;26;11;4;7;18;21;16;11;9;6;16
tt0249516;4077;694;2572;48;45;45;51;78;99;186;605;5073
tt0255820;76;32;42;5;11;10;12;9;3;5;5;29
tt0285252;176;23;33;5;5;10;14;25;36;36;26;35
tt0289146;115;23;12;5;7;18;22;29;20;15;16;14
tt0293069;631;289;237;54;140;221;176;124;53;25;15;39
tt0312305;187;58;98;8;8;15;27;33;20;13;8;61
tt0315642;10246;775;2103;2103;4041;3914;1878;787;332;194;131;428
tt0323808;1790;326;110;28;66;138;212;331;395;398;316;377
tt0326716;209;43;129;23;35;23;16;11;11;5;6;40
tt0326965;1260;438;167;59;156;271;436;376;194;97;63;90
tt0327597;102383;45358;25338;29898;59024;41297;15804;5468;2156;1168;704;1607
tt0331314;195;48;36;10;16;30;57;68;28;16;25;33
tt0337692;22959;9869;2605;1779;4549;8550;9271;5554;2611;1279;822;1294
tt0337926;429;52;35;19;61;130;124;82;48;21;18;41
tt0339736;1641;365;180;112;282;414;477;415;245;157;113;182
tt0346631;24544;1014;3600;2110;4875;8541;5807;2501;1102;510;301;500
tt0347307;95;14;37;21;22;18;8;7;3;2;2;9
tt0353665;98;13;9;4;5;5;12;17;21;17;8;34
tt0359950;181580;45454;31479;38348;78465;73293;33802;12903;5189;2555;1501;2405
tt0360556;9617;2014;447;227;602;1436;2931;3876;2550;1319;807;1125
tt0361748;748199;145296;229869;337371;328361;151406;53384;22305;11513;7410;5641;14949
tt0362478;60837;14063;2966;2426;7146;14618;19985;16546;9075;5533;3569;4446
tt0365545;1461;3313;682;377;954;1726;1629;710;291;130;90;143
tt0365907;77278;10540;3997;3655;13888;36550;31341;11178;3512;1307;651;912
tt0365929;27189;4380;1303;635;1977;5523;10168;8414;4087;1921;1048;1003
tt0369610;332466;71865;50664;50257;122458;161733;90315;38856;16548;8218;4835;6305
tt0374853;1931;668;346;184;424;503;561;346;218;125;88;113
tt0375568;21910;3829;2017;1332;3771;8164;8414;3987;1658;749;421;687
